No.;Time;Comment;Scramble;Date;P.1
1;8.49;;R U R2 F2 R2 F R2 F' U2 F' R2 B2 R2 L D U' L U' F' R';2023-07-19 16:47:36;8.49
2;8.29;;B2 U2 B L2 D2 B' L2 R2 D2 B F2 L' B D R' U F' D L U2;2023-07-19 16:48:00;8.29
3;8.89;;U B2 U B2 F2 D2 L2 D' L2 F2 U F2 R D F' D B U' L2 R' D';2023-07-19 16:54:52;8.89
4;10.78;;L2 D' R2 U B2 R2 U R2 D R2 U' F' U L' F' U2 L2 R2 U R B';2023-07-19 16:55:14;10.78
5;6.94;;U2 F' U2 F2 D2 B2 L2 F2 D' B2 U' L2 F2 R' F U B D' L2 D;2023-07-19 16:55:38;6.94
6;8.86;;D' R' D R2 D L2 F2 D' B2 D F2 D F2 U2 R D U B' R F' L2;2023-07-20 16:26:10;8.86
7;8.41;;D F2 L' U2 F2 L D B2 D2 R2 D2 B D2 B U2 F' D2 L2 F D' B;2023-07-20 16:26:37;8.41
8;10.51;;R U2 R2 U' L2 F2 D' L2 F2 U R2 B D U B U R D2 L F';2023-07-20 16:27:06;10.51
9;9.57;;D2 B D2 U2 F D2 U2 F R2 F L2 R' F D' U' R' D2 U2 F2 D2;2023-07-20 16:27:33;9.57
10;8.83;;B L D2 F B U' R F' D2 R2 B2 R2 B' L2 B' L2 F2 U' F;2023-07-20 16:27:59;8.83
11;7.26;;D2 B' L2 B R2 F L2 F' D2 U2 B2 L' R' B U R D F' L D;2023-07-20 16:28:29;7.26
12;8.11;;D R2 F2 U2 F2 U' L2 U' F2 D' L2 U' L B' D2 L B2 U F' L' D2;2023-07-20 16:28:56;8.11
13;9.95;;D B2 D F2 U2 B2 L2 D U2 B2 U' R2 F' U2 L' D' L2 F' R' D2 R2;2023-07-20 16:29:22;9.95
14;7.47;;D F' D L2 B2 U R2 F R' L2 U L2 U R2 U F2 U' R2 F2 U;2023-07-20 16:29:44;7.47
15;9.08;;D F2 D2 F2 U2 B D2 R2 F2 L2 R2 D' B U' L2 R F L2 U2;2023-07-20 16:30:03;9.08
16;8.36;;D2 R2 D B' D' R F' L F B2 R2 U2 R2 F U2 F B2 U2 L2 F';2023-07-20 16:30:28;8.36
17;7.38;;R U2 L' D2 B2 R' U2 R B2 R2 D2 F2 U' F2 L' U2 F' D2 R2 U2 L';2023-07-20 16:30:53;7.38
18;8.81;;F' D' R' D' B U2 R D' F B' D2 R2 F' L2 B' D2 R2 F2 D2 L2 D;2023-07-20 16:31:18;8.81
19;11.26;;F' L2 B' R2 B R2 U2 B R2 B2 R2 F' D' L' U2 F2 D2 B F L U';2023-07-20 16:31:46;11.26
20;9.17;;D' U2 F2 R' F2 R' F2 L2 B2 U2 R' U2 B2 F' U' F2 D B D R' F2;2023-07-20 16:32:15;9.17
21;7.49;;U R' B2 L B2 R' B2 R2 F2 D2 L' F2 R' B' D' L' D2 U' R' B2 R;2023-07-20 16:32:36;7.49
22;9.86;;U2 L2 F L2 B2 R2 D2 F2 R2 F' R B' U L2 B' L U2 F R;2023-07-20 16:32:59;9.86
23;10.32;;B D' R2 D' B2 F2 D' F2 D2 U B2 U' L' B2 R2 B' D U' F L' F';2023-07-20 16:34:00;10.32
24;9.25;;B2 U B' D' F2 D' L2 F2 D' B2 D R2 U' R2 B' R D' B2 F2 R2 D';2023-07-20 16:34:27;9.25
25;6.32;;D' L2 U2 R2 B2 D F2 D2 F2 U' L2 U' L' D' R B R' F L2 B F';2023-07-20 16:34:54;6.32
26;9.00;;B R2 U2 B2 L2 U2 R2 B' D2 L2 F2 L' D U F' L' D2 B D' R2 F';2023-07-20 16:35:19;9.00
27;7.74;;L' B L D2 L2 F2 U' B2 D' L2 U2 L2 U' L2 R' D L U' L2 D' R';2023-07-20 16:35:46;7.74
28;8.42;;B2 R2 B2 U' B2 D2 F2 D' U2 L2 U2 R U2 B' L2 R' D2 B L D U2;2023-07-20 16:36:12;8.42
29;13.62;;U' F2 L' B2 U2 F2 L2 U' B2 R2 U2 B2 F' R B D2 R D' R;2023-07-20 16:36:41;13.62
30;8.92;;U2 R F B D L2 U L D B2 R2 U2 F D2 F2 L2 U2 F U2 D2;2023-07-20 16:37:14;8.92
31;8.49;;F R2 F U' D B D' L U R2 B2 U2 D' F2 U' R2 B2 R2 B2 F;2023-07-20 16:37:44;8.49
